-1.081,1.005,0.197
-0.273,1.503,0.198
-0.263,1.503,0.198
-0.263,1.503,0.188
-0.263,1.503,0.178
-0.263,1.513,0.178
-0.263,1.513,0.168
-0.253,1.513,0.168
-0.253,1.523,0.158
-0.253,1.523,0.148
-0.243,1.523,0.138
-0.243,1.533,0.138
-0.243,1.533,0.128
-0.233,1.533,0.128
-0.233,1.533,0.118
-0.233,1.533,0.108
-0.223,1.533,0.098
-0.223,1.543,0.098
-0.213,1.543,0.088
-0.213,1.543,0.078
-0.213,1.543,0.068
-0.203,1.533,0.058
-0.203,1.533,0.048
-0.193,1.533,0.048
-0.193,1.533,0.038
-0.193,1.543,0.048
-0.183,1.543,0.048
-0.183,1.543,0.058
-0.183,1.553,0.068
-0.183,1.553,0.078
-0.183,1.563,0.098
-0.183,1.563,0.108
-0.183,1.563,0.118
-0.193,1.563,0.138
-0.193,1.563,0.148
-0.193,1.563,0.168
-0.203,1.563,0.188
-0.203,1.563,0.208
-0.213,1.563,0.218
-0.223,1.563,0.238
-0.233,1.563,0.258
-0.243,1.563,0.278
-0.243,1.553,0.298
-0.263,1.543,0.318
-0.273,1.543,0.338
-0.293,1.533,0.358
-0.303,1.523,0.368
-0.323,1.503,0.398
-0.343,1.493,0.408
-0.353,1.473,0.418
-0.363,1.463,0.428
-0.383,1.453,0.438
-0.393,1.443,0.438
-0.403,1.433,0.448
-0.413,1.423,0.458
-0.413,1.413,0.458
-0.423,1.413,0.458
-0.423,1.403,0.458
-0.433,1.393,0.468
-0.433,1.383,0.468
-0.433,1.383,0.458
-0.423,1.383,0.458
-0.413,1.383,0.448
-0.403,1.383,0.438
-0.393,1.383,0.438
-0.383,1.393,0.428
-0.373,1.393,0.418
-0.363,1.403,0.408
-0.353,1.413,0.398
-0.343,1.423,0.378
-0.333,1.433,0.368
-0.323,1.433,0.358
-0.313,1.443,0.348
-0.303,1.453,0.328
-0.293,1.463,0.318
-0.283,1.473,0.298
-0.283,1.483,0.288
-0.273,1.493,0.268
-0.263,1.493,0.248
-0.253,1.503,0.228
-0.253,1.513,0.218
-0.253,1.523,0.198
-0.243,1.533,0.178
-0.243,1.543,0.158
-0.233,1.543,0.138
-0.233,1.553,0.118
-0.233,1.553,0.098
-0.233,1.563,0.078
-0.233,1.563,0.058
-0.233,1.563,0.038
-0.233,1.573,0.018
-0.233,1.573,-0.002
-0.233,1.573,-0.022
-0.233,1.573,-0.042
-0.233,1.573,-0.052
-0.233,1.573,-0.062
-0.233,1.573,-0.082
-0.243,1.573,-0.092
-0.243,1.583,-0.112
-0.243,1.583,-0.122
-0.253,1.583,-0.132
-0.253,1.583,-0.142
-0.253,1.583,-0.152
-0.263,1.583,-0.152
-0.263,1.583,-0.162
-0.263,1.583,-0.172
-0.263,1.583,-0.182
-0.263,1.593,-0.182
-0.263,1.593,-0.172
-0.253,1.593,-0.172
-0.253,1.593,-0.162
-0.253,1.593,-0.152
-0.253,1.603,-0.142
-0.243,1.603,-0.132
-0.243,1.603,-0.122
-0.243,1.603,-0.112
-0.243,1.603,-0.102
-0.243,1.603,-0.082
-0.233,1.603,-0.072
-0.233,1.603,-0.052
-0.233,1.603,-0.032
-0.233,1.603,-0.022
-0.233,1.603,-0.002
-0.243,1.603,0.018
-0.243,1.603,0.038
-0.243,1.603,0.058
-0.243,1.603,0.068
-0.243,1.593,0.098
-0.253,1.593,0.118
-0.253,1.583,0.138
-0.253,1.583,0.148
-0.263,1.573,0.168
-0.273,1.563,0.188
-0.273,1.563,0.208
-0.283,1.553,0.218
-0.283,1.553,0.228
-0.293,1.543,0.248
-0.303,1.533,0.258
-0.303,1.533,0.268
-0.313,1.523,0.278
-0.313,1.523,0.288
-0.323,1.513,0.308
-0.323,1.503,0.318
-0.333,1.503,0.318
-0.333,1.503,0.328
-0.333,1.493,0.328
-0.333,1.493,0.338
-0.333,1.493,0.348
-0.323,1.493,0.348
-0.313,1.503,0.338
-0.313,1.513,0.338
-0.303,1.523,0.328
-0.303,1.523,0.318
-0.303,1.533,0.308
-0.303,1.533,0.298
-0.303,1.543,0.298
-0.303,1.543,0.288
-0.303,1.553,0.278
-0.303,1.553,0.268
-0.303,1.563,0.258
-0.303,1.563,0.248
-0.303,1.573,0.238
-0.303,1.573,0.228
-0.303,1.583,0.218
-0.303,1.583,0.208
-0.303,1.583,0.188
-0.303,1.593,0.178
-0.303,1.593,0.168
-0.303,1.593,0.158
-0.303,1.593,0.138
-0.303,1.603,0.128
-0.303,1.603,0.118
-0.303,1.603,0.098
-0.303,1.603,0.088
-0.303,1.603,0.078
-0.303,1.603,0.068
-0.303,1.613,0.048
-0.303,1.613,0.038
-0.303,1.613,0.028
-0.303,1.613,0.018
-0.303,1.603,0.008
-0.303,1.603,-0.002
-0.303,1.603,-0.012
-0.303,1.603,-0.022
-0.303,1.603,-0.032
-0.303,1.603,-0.042
-0.303,1.603,-0.052
-0.313,1.593,-0.062
-0.313,1.583,-0.072
-0.313,1.583,-0.082
-0.313,1.573,-0.082
-0.323,1.573,-0.082
-0.323,1.563,-0.082
-0.323,1.553,-0.092
-0.323,1.543,-0.092
-0.333,1.543,-0.092
-0.333,1.523,-0.092
-0.333,1.513,-0.092
-0.343,1.503,-0.082
-0.343,1.493,-0.082
-0.353,1.483,-0.082
-0.353,1.473,-0.072
-0.363,1.463,-0.072
-0.363,1.443,-0.062
-0.373,1.433,-0.062
-0.373,1.423,-0.062
-0.383,1.413,-0.052
-0.383,1.393,-0.052
-0.383,1.383,-0.052
-0.393,1.373,-0.052
-0.393,1.353,-0.042
-0.403,1.343,-0.042
-0.403,1.333,-0.042
-0.413,1.323,-0.042
-0.413,1.313,-0.042
-0.413,1.303,-0.042
-0.423,1.293,-0.042
-0.423,1.283,-0.032
-0.433,1.273,-0.032
-0.433,1.263,-0.032
-0.433,1.253,-0.032
-0.443,1.243,-0.032
-0.443,1.233,-0.032
-0.453,1.233,-0.032
-0.453,1.223,-0.032
-0.463,1.233,-0.032
-0.463,1.243,-0.032
-0.463,1.253,-0.032
-0.463,1.263,-0.032
-0.463,1.283,-0.032
-0.463,1.293,-0.032
-0.463,1.303,-0.032
-0.463,1.313,-0.042
-0.453,1.323,-0.042
-0.453,1.343,-0.042
-0.453,1.353,-0.042
-0.453,1.363,-0.052
-0.443,1.373,-0.052
-0.443,1.383,-0.062
-0.443,1.403,-0.062
-0.433,1.413,-0.062
-0.433,1.413,-0.072
-0.433,1.433,-0.072
-0.423,1.443,-0.072
-0.423,1.453,-0.082
-0.423,1.463,-0.082
-0.413,1.473,-0.092
-0.413,1.483,-0.092
-0.413,1.493,-0.092
-0.403,1.503,-0.092
-0.403,1.513,-0.092
-0.403,1.523,-0.092
-0.393,1.523,-0.092
-0.393,1.523,-0.082
-0.393,1.523,-0.072
-0.393,1.513,-0.062
-0.383,1.513,-0.052
-0.383,1.513,-0.042
-0.383,1.513,-0.032
-0.373,1.503,-0.012
-0.373,1.503,0.008
-0.373,1.493,0.028
-0.373,1.483,0.038
-0.373,1.473,0.058
-0.373,1.463,0.078
-0.363,1.453,0.098
-0.363,1.443,0.118
-0.373,1.433,0.128
-0.373,1.423,0.138
-0.373,1.403,0.168
-0.373,1.393,0.178
-0.373,1.373,0.198
-0.383,1.373,0.208
-0.383,1.353,0.218
-0.393,1.343,0.238
-0.393,1.333,0.248
-0.403,1.323,0.258
-0.403,1.313,0.268
-0.403,1.313,0.278
-0.403,1.313,0.288
-0.403,1.303,0.288
-0.403,1.303,0.298
-0.393,1.313,0.298
-0.393,1.313,0.308
-0.383,1.313,0.308
-0.373,1.323,0.308
-0.363,1.333,0.308
-0.353,1.343,0.308
-0.353,1.353,0.308
-0.343,1.353,0.308
-0.333,1.363,0.308
-0.323,1.373,0.308
-0.323,1.383,0.308
-0.313,1.403,0.308
-0.303,1.413,0.308
-0.293,1.423,0.308
-0.283,1.433,0.298
-0.273,1.443,0.298
-0.263,1.453,0.298
-0.263,1.463,0.288
-0.253,1.473,0.288
-0.243,1.493,0.278
-0.233,1.503,0.278
-0.223,1.503,0.278
-0.213,1.513,0.268
-0.213,1.523,0.258
-0.203,1.533,0.258
-0.193,1.543,0.258
-0.183,1.553,0.248
-0.173,1.563,0.238
-0.173,1.573,0.238
-0.163,1.573,0.228
-0.163,1.583,0.228
-0.163,1.593,0.228
-0.153,1.603,0.218
-0.153,1.613,0.218
-0.153,1.623,0.218
-0.153,1.633,0.218
-0.143,1.633,0.218
-0.143,1.643,0.228
-0.143,1.643,0.238
-0.143,1.653,0.238
-0.143,1.653,0.248
-0.143,1.653,0.258
-0.143,1.653,0.268
-0.143,1.653,0.278
-0.153,1.653,0.288
-0.153,1.653,0.298
-0.153,1.653,0.308
-0.163,1.653,0.318
-0.163,1.653,0.328
-0.173,1.653,0.328
-0.183,1.643,0.348
-0.193,1.643,0.358
-0.193,1.633,0.368
-0.203,1.633,0.388
-0.213,1.633,0.398
-0.223,1.623,0.398
-0.233,1.623,0.418
-0.233,1.613,0.418
-0.253,1.613,0.428
-0.263,1.603,0.448
-0.273,1.593,0.458
-0.283,1.593,0.468
-0.293,1.583,0.478
-0.303,1.573,0.478
-0.303,1.573,0.488
-0.313,1.563,0.498
-0.323,1.553,0.498
-0.333,1.553,0.508
-0.343,1.543,0.508
-0.343,1.533,0.518
-0.353,1.533,0.528
-0.363,1.523,0.528
-0.373,1.513,0.538
-0.383,1.503,0.538
-0.393,1.503,0.548
-0.403,1.493,0.548
-0.403,1.483,0.548
-0.413,1.483,0.548
-0.413,1.473,0.548
-0.413,1.463,0.548
-0.403,1.463,0.548
-0.393,1.473,0.548
-0.393,1.473,0.538
-0.383,1.473,0.538
-0.373,1.473,0.528
-0.363,1.473,0.518
-0.353,1.473,0.518
-0.353,1.483,0.508
-0.343,1.483,0.498
-0.323,1.483,0.488
-0.313,1.493,0.478
-0.303,1.493,0.468
-0.293,1.503,0.458
-0.283,1.503,0.448
-0.273,1.513,0.438
-0.263,1.513,0.418
-0.263,1.513,0.408
-0.253,1.523,0.388
-0.243,1.523,0.378
-0.233,1.523,0.358
-0.223,1.533,0.338
-0.223,1.533,0.328
-0.213,1.543,0.308
-0.203,1.543,0.298
-0.203,1.543,0.278
-0.193,1.553,0.248
-0.183,1.553,0.228
-0.183,1.553,0.208
-0.183,1.563,0.188
-0.173,1.563,0.178
-0.173,1.563,0.158
-0.173,1.563,0.138
-0.173,1.573,0.118
-0.173,1.573,0.098
-0.173,1.573,0.078
-0.163,1.573,0.058
-0.163,1.573,0.038
-0.163,1.583,0.018
-0.163,1.583,0.008
-0.163,1.583,-0.002
-0.163,1.583,-0.022
-0.173,1.583,-0.042
-0.173,1.583,-0.052
-0.173,1.583,-0.062
-0.173,1.583,-0.082
-0.173,1.583,-0.092
-0.173,1.583,-0.112
-0.173,1.583,-0.122
-0.173,1.583,-0.132
-0.183,1.573,-0.152
-0.183,1.573,-0.162
-0.183,1.573,-0.172
-0.183,1.573,-0.182
-0.183,1.573,-0.192
-0.183,1.573,-0.212
-0.183,1.573,-0.222
-0.193,1.573,-0.232
-0.193,1.573,-0.242
-0.193,1.563,-0.252
-0.203,1.563,-0.262
-0.203,1.563,-0.272
-0.203,1.563,-0.282
-0.203,1.553,-0.292
-0.213,1.553,-0.292
-0.213,1.553,-0.302
-0.223,1.553,-0.302
-0.233,1.553,-0.302
-0.233,1.553,-0.292
-0.233,1.553,-0.282
-0.233,1.553,-0.272
-0.233,1.553,-0.262
-0.233,1.553,-0.252
-0.233,1.553,-0.242
-0.233,1.553,-0.232
-0.233,1.553,-0.222
-0.233,1.553,-0.212
-0.233,1.553,-0.202
-0.233,1.553,-0.192
-0.233,1.553,-0.182
-0.233,1.553,-0.162
-0.233,1.553,-0.152
-0.233,1.553,-0.132
-0.233,1.553,-0.122
-0.233,1.553,-0.112
-0.233,1.553,-0.092
-0.243,1.553,-0.082
-0.243,1.553,-0.062
-0.243,1.543,-0.062
-0.243,1.543,-0.042
-0.243,1.543,-0.032
-0.243,1.543,-0.022
-0.243,1.533,-0.002
-0.243,1.533,0.008
-0.253,1.533,0.018
-0.253,1.533,0.028
-0.253,1.523,0.038
-0.253,1.523,0.048
-0.253,1.523,0.058
-0.253,1.513,0.068
-0.263,1.513,0.078
-0.263,1.503,0.088
-0.273,1.503,0.088
-0.273,1.493,0.098
-0.273,1.493,0.108
-0.283,1.483,0.108
-0.283,1.483,0.118
-0.283,1.473,0.128
-0.293,1.473,0.128
-0.293,1.463,0.128
-0.293,1.463,0.138
-1.145,1.469,0.055
-0.573,1.263,0.178
-0.573,1.213,0.178
-0.523,1.213,0.178
-0.573,1.213,0.228
-0.573,1.163,0.228
-0.573,1.163,0.278
-0.623,1.163,0.278
-0.623,1.163,0.328
-0.623,1.163,0.378
-0.673,1.113,0.378
-0.673,1.113,0.428
-0.723,1.113,0.428
-0.723,1.113,0.478
-0.723,1.013,0.478
-0.723,1.013,0.428
-0.673,1.013,0.378
-0.673,1.013,0.328
-0.623,1.013,0.278
-0.623,1.013,0.228
-0.623,1.013,0.178
-0.623,1.013,0.128
-0.623,1.013,0.078
-0.623,1.013,0.028
-0.623,1.013,-0.022
-0.623,1.013,-0.072
-0.623,1.013,-0.122
-0.623,1.013,-0.172
-0.673,1.013,-0.172
-0.673,1.013,-0.222
-0.673,1.013,-0.272
-0.723,1.013,-0.272
-0.723,1.013,-0.322
-0.723,1.013,-0.372
-0.723,1.363,0.578
