-1.055,1.488,0.014
-0.653,1.313,0.130
-0.603,1.313,0.130
-0.603,1.263,0.130
-0.653,1.263,0.180
-0.653,1.263,0.230
-0.653,1.213,0.230
-0.703,1.213,0.230
-0.703,1.213,0.280
-0.703,1.163,0.330
-0.753,1.163,0.330
-0.803,1.163,0.380
-0.753,1.213,0.330
-0.703,1.213,0.330
-0.653,1.213,0.180
-0.653,1.213,0.130
-0.653,1.213,0.080
-0.653,1.213,0.030
-0.653,1.213,-0.020
-0.653,1.213,-0.070
-0.653,1.213,-0.120
-0.653,1.213,-0.170
-0.653,1.163,-0.020
-0.603,1.163,-0.020
-0.603,1.163,0.030
-0.603,1.163,0.080
-0.603,1.163,0.130
-0.653,1.163,0.130
-0.653,1.163,0.180
-0.653,1.163,0.230
-0.653,1.113,0.230
-0.653,1.113,0.280
-0.703,1.113,0.280
-0.703,1.113,0.330
-0.753,1.113,0.330
-0.753,1.113,0.380
-0.703,1.113,0.230
-0.653,1.113,0.180
-0.653,1.113,0.130
-0.653,1.113,0.080
-0.653,1.113,0.030
-0.653,1.113,-0.020
-0.653,1.113,-0.070
-0.653,1.113,-0.120
-0.653,1.113,-0.170
-0.703,1.113,-0.170
-0.703,1.113,-0.220
-0.703,1.163,-0.220
-0.753,1.163,-0.220
-0.753,1.163,-0.270
-0.653,1.063,0.080
-0.653,1.063,0.130
-0.653,1.063,0.180
-0.703,1.063,0.230
-0.703,1.063,0.280
-0.753,1.063,0.280
-0.753,1.063,0.330
-0.803,1.063,0.330
-0.803,1.063,0.380
-0.703,1.063,0.180
-0.653,1.063,0.030
-0.653,1.063,-0.020
-0.653,1.063,-0.070
-0.653,1.063,-0.120
-0.703,1.063,-0.120
-0.703,1.063,-0.170
-0.703,1.063,-0.220
-0.753,1.063,-0.220
-0.753,1.063,-0.270
-0.803,1.063,-0.270
-0.803,1.063,-0.320
-0.653,1.013,0.030
-0.653,1.013,0.080
-0.653,1.013,0.130
-0.653,1.013,0.180
