-1.160,1.300,0.000
-0.603,1.213,0.030
-0.603,1.213,0.080
-0.603,1.213,0.130
-0.603,1.213,0.180
-0.603,1.163,0.230
-0.603,1.163,0.280
-0.603,1.213,0.280
-0.653,1.213,0.280
-0.653,1.213,0.330
-0.653,1.263,0.330
-0.653,1.313,0.330
-0.703,1.313,0.330
-0.703,1.363,0.330
-0.703,1.413,0.330
-0.703,1.463,0.330
-0.703,1.513,0.330
-0.703,1.513,0.280
-0.703,1.563,0.280
-0.703,1.563,0.230
-0.703,1.613,0.230
-0.703,1.613,0.180
-0.703,1.613,0.130
-0.653,1.613,0.130
-0.653,1.563,0.130
-0.653,1.513,0.130
-0.603,1.513,0.130
-0.603,1.463,0.130
-0.603,1.463,0.180
-0.603,1.413,0.180
-0.603,1.363,0.180
-0.603,1.313,0.230
-0.603,1.313,0.280
-0.653,1.313,0.280
-0.753,1.363,0.330
-0.753,1.363,0.380
-0.803,1.363,0.380
-0.803,1.363,0.430
-0.853,1.363,0.430
-0.853,1.363,0.480
-0.903,1.363,0.480
-0.903,1.313,0.480
-0.903,1.263,0.480
-0.953,1.263,0.480
-0.953,1.313,0.480
-1.003,1.313,0.480
-1.003,1.363,0.480
-1.003,1.413,0.480
-1.003,1.463,0.480
-1.003,1.463,0.430
-1.003,1.513,0.430
-1.003,1.563,0.430
-1.003,1.563,0.380
-1.003,1.613,0.380
-1.003,1.663,0.380
-0.953,1.713,0.380
-0.953,1.713,0.330
-1.003,1.713,0.330
-1.003,1.713,0.280
-1.003,1.763,0.280
-1.003,1.763,0.230
-1.053,1.763,0.230
-1.053,1.813,0.180
-1.103,1.813,0.180
-1.103,1.813,0.130
-1.153,1.813,0.130
-1.153,1.813,0.080
-1.153,1.863,0.080
-1.003,1.713,0.180
-1.003,1.713,0.130
-1.053,1.713,0.130
-1.053,1.713,0.080
-1.053,1.763,0.080
-1.053,1.763,0.030
-1.053,1.763,-0.020
-1.053,1.813,-0.020
-1.003,1.813,-0.070
-0.953,1.813,-0.120
-0.953,1.763,-0.120
-0.903,1.763,-0.120
-0.903,1.763,-0.170
-0.853,1.763,-0.170
-0.853,1.763,-0.220
-0.853,1.713,-0.220
-0.803,1.713,-0.220
-0.803,1.713,-0.270
-0.803,1.663,-0.270
-0.753,1.663,-0.270
-0.753,1.613,-0.270
-0.753,1.613,-0.220
-0.703,1.613,-0.220
-0.703,1.563,-0.220
-0.653,1.563,-0.220
-0.653,1.513,-0.170
-0.603,1.513,-0.170
-0.603,1.463,-0.170
-0.553,1.463,-0.120
-0.553,1.463,-0.070
-0.553,1.413,-0.070
-0.553,1.413,-0.020
-0.503,1.413,-0.020
-0.503,1.363,0.030
-0.553,1.363,0.030
-0.553,1.363,0.080
-0.553,1.313,0.080
-0.553,1.313,0.130
-0.553,1.313,0.180
-0.553,1.263,0.180
-0.553,1.263,0.230
-0.603,1.263,0.280
-0.603,1.213,0.330
-0.653,1.213,0.380
-0.653,1.213,0.430
-0.703,1.213,0.430
-0.703,1.263,0.430
-0.703,1.313,0.430
-0.703,1.363,0.430
-0.703,1.413,0.430
-0.653,1.413,0.430
-0.653,1.413,0.380
-0.653,1.463,0.380
-0.653,1.513,0.380
-0.653,1.513,0.330
-0.653,1.563,0.330
-0.653,1.613,0.280
-0.653,1.663,0.280
-0.653,1.663,0.230
-0.703,1.663,0.230
-0.703,1.663,0.180
-0.703,1.713,0.180
-0.703,1.713,0.130
-0.753,1.713,0.130
-0.753,1.763,0.130
-0.753,1.763,0.080
-0.753,1.763,0.030
-0.803,1.813,0.030
-0.803,1.813,-0.020
